Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFCBANK,EQ,15-May-17,1551.65,1550,1557.2,1542.25,1553,1553.4,1550.73,701195,1087367600,15104,309282,44.11
HDFCBANK,IL,15-May-17,1567,1583,1583,1583,-,1583,1583,342000,541386000,6,342000,100
HDFCBANK,EQ,16-May-17,1553.4,1555,1562,1548.25,1561.85,1559.65,1555.11,897594,1395856787,21073,347734,38.74
HDFCBANK,EQ,17-May-17,1559.65,1558.8,1565.4,1551.5,1557.5,1557.15,1557.51,868118,1352102517,32732,367931,42.38
HDFCBANK,IL,17-May-17,1583,1600,1600,1600,-,1600,1600,50000,80000000,1,50000,100
HDFCBANK,EQ,18-May-17,1557.15,1549,1561.5,1548.1,1557.5,1557.1,1556.99,776820,1209499656,13648,518101,66.7
HDFCBANK,IL,18-May-17,1600,1596,1597.5,1596,-,1597,1596.99,680000,1085951250,15,680000,100
HDFCBANK,EQ,19-May-17,1557.1,1559.5,1569.9,1545.25,1568.05,1561.25,1556.93,713534,1110925609,18458,296680,41.58
HDFCBANK,IL,19-May-17,1597,1580,1580,1580,-,1580,1580,865000,1366700000,18,865000,100
HDFCBANK,EQ,22-May-17,1561.25,1565.1,1580,1563.1,1579,1576,1572.46,715013,1124331912,24974,413491,57.83
HDFCBANK,EQ,23-May-17,1576,1580,1583.55,1565,1569,1569.1,1575.09,770043,1212889748,17873,489628,63.58
HDFCBANK,IL,23-May-17,1580,1590.25,1590.25,1585,-,1585,1585,300000,475500210,28,173000,57.67
HDFCBANK,EQ,24-May-17,1569.1,1569.05,1575.45,1562,1567,1566.75,1566.76,866847,1358143700,34901,615909,71.05
HDFCBANK,EQ,25-May-17,1566.75,1567.1,1629.4,1567.1,1613.25,1617.15,1605.26,5022701,8062757340,60075,3585041,71.38
HDFCBANK,IL,25-May-17,1585,1570,1570,1570,-,1570,1570,48,75360,1,48,100
HDFCBANK,EQ,26-May-17,1617.15,1606.65,1632,1601.1,1623,1626,1617.56,1360789,2201159155,31085,754482,55.44
HDFCBANK,IL,26-May-17,1570,1628.05,1628.05,1628.05,-,1628.05,1628.05,250000,407012500,10,250000,100
HDFCBANK,EQ,29-May-17,1626,1619.8,1648,1617.65,1626.65,1631.9,1634.94,1479085,2418209871,48257,924191,62.48
HDFCBANK,IL,29-May-17,1628.05,1646,1646,1646,-,1646,1646,451322,742876012,18,451322,100
HDFCBANK,EQ,30-May-17,1631.9,1630,1633.5,1616.15,1631.4,1629.05,1622.75,1108546,1798890005,26377,592343,53.43
HDFCBANK,EQ,31-May-17,1629.05,1625,1643,1623.15,1640,1636.2,1631.48,1329728,2169429927,18717,926698,69.69
HDFCBANK,EQ,01-Jun-17,1636.2,1639,1639.85,1620.55,1627,1628.6,1630.91,839885,1369779680,21114,481729,57.36
HDFCBANK,IL,01-Jun-17,1646,1645.25,1645.25,1645.25,-,1645.25,1645.25,16000,26324000,1,16000,100
HDFCBANK,EQ,02-Jun-17,1628.6,1634,1646.1,1626.2,1631.85,1634.25,1636.04,803386,1314369623,17867,390838,48.65
HDFCBANK,IL,02-Jun-17,1645.25,1642.1,1645,1642.05,-,1642.05,1642.66,126000,206975250,8,57500,45.63
HDFCBANK,EQ,05-Jun-17,1634.25,1633.7,1638.95,1625,1638.5,1635.55,1633.27,724975,1184083533,14700,327218,45.14
HDFCBANK,IL,05-Jun-17,1642.05,1642,1658,1642,-,1658,1651.43,169666,280191572,4,100000,58.94
HDFCBANK,EQ,06-Jun-17,1635.55,1635,1643.8,1630,1639,1638.95,1638.5,1250658,2049200642,14396,921531,73.68
HDFCBANK,EQ,07-Jun-17,1638.95,1640.4,1644.9,1630.35,1641.3,1640.8,1638.26,638569,1046138987,28344,447948,70.15
HDFCBANK,EQ,08-Jun-17,1640.8,1643.9,1659.4,1641.65,1643.6,1644.75,1648.3,1062192,1750808058,25728,582580,54.85
HDFCBANK,EQ,09-Jun-17,1644.75,1640.1,1670,1640.1,1669.9,1666.8,1660.39,1326318,2202209562,41645,878389,66.23
HDFCBANK,EQ,12-Jun-17,1666.8,1664,1676,1660,1666,1668.75,1666.54,992853,1654628890,40006,658975,66.37
HDFCBANK,IL,12-Jun-17,1658,1665,1665,1665,-,1665,1665,99481,165635865,2,99481,100
HDFCBANK,EQ,13-Jun-17,1668.75,1661.75,1691.9,1661,1674,1676.7,1680.14,1262905,2121860290,37080,831771,65.86
HDFCBANK,EQ,14-Jun-17,1676.7,1675,1679.95,1667,1672.85,1671.2,1672.03,964590,1612824041,27840,714323,74.05
HDFCBANK,EQ,15-Jun-17,1671.2,1668,1675.6,1653.6,1665,1664.35,1662.08,881673,1465414452,17284,530656,60.19
HDFCBANK,IL,15-Jun-17,1665,1671.25,1671.25,1665,-,1670,1669.94,1170300,1954329690,42,1170300,100
HDFCBANK,EQ,16-Jun-17,1664.35,1665,1674.7,1658.1,1667,1669.25,1665.86,938776,1563872405,18765,583858,62.19
HDFCBANK,IL,16-Jun-17,1670,1664.95,1665.9,1664.95,-,1665.9,1665.14,600,999086.9,35,600,100
HDFCBANK,EQ,19-Jun-17,1669.25,1671,1696,1668.4,1690.7,1692.9,1683.38,956383,1609958238,26370,581131,60.76
HDFCBANK,EQ,20-Jun-17,1692.9,1690,1694,1679.85,1681.55,1686.55,1686.31,915066,1543084686,22817,675274,73.8
HDFCBANK,IL,20-Jun-17,1665.9,1689,1707.35,1689,-,1707.35,1699.76,398626,677569314,9,338626,84.95
HDFCBANK,EQ,21-Jun-17,1686.55,1682.6,1701.25,1679.6,1696.9,1698.7,1692.56,852733,1443298487,13383,435777,51.1
HDFCBANK,IL,21-Jun-17,1707.35,1701,1710.1,1701,-,1705.5,1704.66,575000,980181225,16,540000,93.91
HDFCBANK,EQ,22-Jun-17,1698.7,1694.95,1716,1691.2,1699,1698,1705.36,1668865,2846016910,47395,870934,52.19
HDFCBANK,IL,22-Jun-17,1705.5,1710,1710,1710,-,1710,1710,380000,649800000,8,380000,100
HDFCBANK,EQ,23-Jun-17,1698,1702,1702.75,1675.2,1681.1,1678.65,1684.39,1304367,2197062164,40032,835308,64.04
HDFCBANK,IL,23-Jun-17,1710,1698.5,1698.5,1692,-,1692,1696.92,301000,510772000,8,301000,100
HDFCBANK,EQ,27-Jun-17,1678.65,1689,1695,1656.25,1667.55,1667.65,1673.41,1500108,2510290433,41978,966813,64.45
HDFCBANK,IL,27-Jun-17,1692,1687,1705,1687,-,1695,1695.7,4645234,7876911145,152,4645234,100
HDFCBANK,EQ,28-Jun-17,1667.65,1665,1675,1657.8,1666.5,1666.45,1666.08,1112259,1853114830,33276,759351,68.27
HDFCBANK,IL,28-Jun-17,1695,1670,1670,1670,-,1670,1670,43000,71810000,1,43000,100
HDFCBANK,EQ,29-Jun-17,1666.45,1667,1681.9,1651.1,1655,1663.05,1666.21,2296927,3827159037,41505,1515335,65.97
HDFCBANK,EQ,30-Jun-17,1663.05,1653.8,1660,1643,1654.85,1652.05,1654.33,1082608,1790989876,20154,686217,63.39
HDFCBANK,EQ,03-Jul-17,1652.05,1652.6,1667.5,1647.25,1660,1658.6,1658.07,876083,1452603242,29692,555332,63.39
HDFCBANK,EQ,04-Jul-17,1658.6,1660.25,1666.7,1652,1653,1653.35,1656.45,941520,1559578817,29651,629966,66.91
HDFCBANK,EQ,05-Jul-17,1653.35,1653.1,1659.5,1645,1647.15,1648.75,1651.02,1003550,1656877513,33969,745305,74.27
HDFCBANK,IL,05-Jul-17,1670,1653.35,1653.35,1653.35,-,1653.35,1653.35,36705,60686211.75,1,36705,100
HDFCBANK,EQ,06-Jul-17,1648.75,1652.55,1663,1651.35,1658.95,1658.15,1658.74,1142919,1895807618,36276,826102,72.28
HDFCBANK,EQ,07-Jul-17,1658.15,1660.85,1669.6,1658,1665,1667.2,1663.38,1379349,2294376291,34523,989181,71.71
HDFCBANK,EQ,10-Jul-17,1667.2,1670.7,1748,1661.05,1674,1676.35,1674.39,334769,560535368.7,6377,189620,56.64
